       Class   precision    recall  f1-score   support

           A       0.96      0.98      0.97      2774
           B       0.98      0.91      0.95      1734
           C       0.95      0.99      0.97      4682
           D       0.96      0.91      0.93      2027
           E       0.99      0.93      0.96      2288
           F       0.97      0.91      0.94       233
           G       0.98      0.92      0.95      1152
           H       0.94      0.94      0.94      1444
           I       0.99      0.96      0.97       224
           J       0.95      0.93      0.94      1699
           K       0.96      0.93      0.94      1121
           L       0.94      0.98      0.96      2317
           M       0.99      0.97      0.98      2467
           N       0.96      0.98      0.97      3802
           O       0.97      0.99      0.98     11565
           P       0.93      0.98      0.96      3868
           Q       0.99      0.81      0.89      1162
           R       0.98      0.90      0.94      2313
           S       0.99      0.99      0.99      9684
           T       0.97      0.99      0.98      4499
           U       0.98      0.99      0.98      5801
           V       0.99      0.99      0.99       836
           W       1.00      0.94      0.97      2157
           X       0.99      0.94      0.96      1254
           Y       0.95      0.97      0.96      2172
           Z       0.99      0.97      0.98      1215

    accuracy                           0.97     74490
   macro avg       0.97      0.95      0.96     74490
weighted avg       0.97      0.97      0.97     74490
